,name,room_type,price,minimum_nights,number_of_reviews,availability_365
5726,"Clean, Bright 1BD in Bushwick!",Entire home/apt,150,1,3,0
5729,Cozy one bedroom apt at the center of Astoria,Entire home/apt,160,2,1,0
5730,Your Own 2-Bd ~ Comfortable and Unique ~ Bed-Stuy,Entire home/apt,95,7,69,0
5731,Lovely Apartment in Harlem West,Entire home/apt,99,3,5,0
5732,Spacious Soho Loft,Entire home/apt,500,3,3,0
5733,Bushwick BR/Private Bathroom,Private room,35,15,1,0
5742,Charming West Village 1 bdrm,Entire home/apt,145,3,11,0
5747,Great Deal.,Private room,85,2,1,0
5749,"Cozy, charming private apt in Brooklyn",Entire home/apt,116,2,148,0
5751,Gorgeous Park Slope Space & Light,Entire home/apt,95,4,0,0
5752,Cool room while I'm away!,Private room,100,1,0,0
5753,Spacious 2 story Apt in Midtown!!,Entire home/apt,200,1,1,0
5755,Idealistic Inwood,Entire home/apt,100,3,15,0
5756,Unique Full-Floor 2br/2bath in the Heart of SoHo,Entire home/apt,900,3,10,0
5758,Artist's Studio Apartment,Entire home/apt,75,2,0,0
5760,"Manhattan 1-Bedroom, East Village",Entire home/apt,160,3,0,0
5762,Greenwich Village Living!,Entire home/apt,350,2,0,0
5764,Sunny 1 Bedroom -Financial District,Entire home/apt,160,7,3,0
5765,1 Br Near Empire State Building,Entire home/apt,270,1,0,0
5768,Charming Soho One Bedroom + Loft,Entire home/apt,350,2,0,0
5769,Private Room in Brooklyn,Private room,75,1,10,0
5770,Spacious  South Slope apartment,Entire home/apt,119,5,6,0
5772,Spacious Artist's Studio,Entire home/apt,120,1,4,0
5775,,Entire home/apt,225,1,1,0
5776,"Beautiful, Spacious Brooklyn Home ",Entire home/apt,275,3,3,0
5779,Cozy and Vibey Apt in Williamsburg,Entire home/apt,115,2,3,0
5780,Cozy hideaway,Entire home/apt,110,2,0,0
5782,Stay in the heart of Williamsburg!,Entire home/apt,150,2,4,0
5784,1 Bedroom Apartment in Washington Heights - Summer,Entire home/apt,75,7,1,0
5787,Central One Bedroom Manhattan Apt,Entire home/apt,109,2,11,0
5792,Spacious & Bright: 1 BR Midtown!,Entire home/apt,225,1,10,0
5795,Cute Studio in Trendy Neighborhood,Entire home/apt,73,2,7,0
5797,Private 1 bedroom in Williamsburg,Entire home/apt,90,2,3,0
5798,Bright Top Floor Apartment In The Heart Of BK,Entire home/apt,99,5,16,0
5799,Amazing View in East Williamsburg ,Shared room,150,1,0,0
5806,Studio Apartment ,Entire home/apt,150,1,0,0
5807,Beautiful Oasis,Entire home/apt,250,1,1,0
5809,looking for someone to stay 12days,Entire home/apt,260,1,0,0
5812,Central 2 Bedroom in Chelsea,Entire home/apt,275,3,1,0
5813,nice apt in west village,Private room,110,1,0,0
5814,"Spacious, elegant home in Brooklyn",Entire home/apt,150,3,0,0
5818,Private Bedroom in Large Apartment,Private room,100,1,0,0
5819,Quiet room in Greenpoint,Private room,80,2,0,0
5821,Sunny and Funky Greenpoint Room,Private room,75,1,1,0
5823,Very clean/comfortable shared room,Shared room,41,1,1,0
5824,Sunny & quiet 2BR in great location,Entire home/apt,195,4,1,0
5825,W70s Lg. Studio with outdoor space,Entire home/apt,250,2,5,0
5829,Williamsburg Penthouse w/ Balcony,Private room,99,1,0,0
5831,Charming Studio in the Heart of NYC,Entire home/apt,120,6,5,0
5833,Private bedroom in Bushwick,Private room,90,3,0,0
5838,Beautiful 1 Bedroom in Midtown West,Entire home/apt,225,3,2,0
5839,Columbus Circle and Park Views,Entire home/apt,2695,1,0,0
5841,Columbus Circle 2br,Entire home/apt,150,1,0,0
5842,LOVELY GARDEN APT FOR 2 TO 4,Entire home/apt,106,3,15,0
5848,Large private room in huge LES Apt,Private room,70,1,2,0
5850,Cozy One Bedroom Apt - Astoria,Entire home/apt,125,2,112,0
5852,Huge 2.5 bdrm in North Brooklyn!,Entire home/apt,145,2,7,0
5855,UPPER EAST SIDE DOORMAN BUILDING,Entire home/apt,300,4,57,0
5860,Two room suite for rent in Bushwick,Entire home/apt,100,15,0,0
5862,"Great location, great value",Entire home/apt,120,3,18,0
5864,Private Room in a Spacious & Bright Apartment,Private room,70,4,91,0
5869,The Lower East Side Experience,Entire home/apt,165,3,23,0
5871,"Cozy/spacious 3bd, room for rent",Private room,80,1,2,0
5874,"Lovely, light-filled Bushwick flat",Private room,60,3,2,0
5875,Can't Beat this Central Location!,Entire home/apt,149,1,26,0
5876,A Superhost SALE! DELUXE Room!,Private room,53,1,351,0
5879,Homey East Village Private Bedroom ,Private room,199,1,0,0
5880,LES/Chinatown One Bedroom apt (all to yourself),Entire home/apt,140,1,16,0
5885,Cozy 1BD on historic Stuyvesant St.,Entire home/apt,150,3,1,0
5887,Private room in Bushwick Loft,Private room,100,1,0,0
5889,Bright Apt Williamsburg-Greenpoint,Entire home/apt,130,1,43,0
5890,"Bedroom, balcony and best of NY.",Private room,56,1,1,0
5891,Welcome to my home,Entire home/apt,450,1,1,0
5892,Large Sunny Master Private bedroom,Private room,75,1,7,0
5895,Comfortable Room w/access to full apartment,Private room,45,1,5,0
5918,East Village Comfort & Convenience,Entire home/apt,149,2,36,0
5919,"Lovely, Clean, Comfy w/River Views!",Entire home/apt,210,1,0,0
5921,Spacious room with view in Chelsea,Private room,110,6,20,0
5922,Modern 2-Bed Apt.- Great Location!,Entire home/apt,375,3,13,0
5923,Full apartment - cute & quirky,Entire home/apt,95,10,2,0
5926,1 bed/bath condo steps from Bedford,Entire home/apt,150,5,1,0
5928,Beautiful 1BR apt Upper West Side,Entire home/apt,132,2,9,0
5931,"Big, Bright Fort Greene Apartment! ",Entire home/apt,142,6,2,0
5936,The Perfect 1brm Apartment - Sunny & Spacious!,Entire home/apt,123,3,21,0
5937,Large Sunlight House,Entire home/apt,175,2,17,0
5938,City Studio in the Upper East Side,Private room,100,4,14,0
5942,NY Duplex Apartment in Flatiron,Entire home/apt,2000,7,0,0
5943,Rustic Chic Private Living Room,Private room,69,1,33,0
5945,Studio apartment in heart East Village,Entire home/apt,150,5,0,0
5946,"LargeApt 1 BLOCK frm A,C,B,D,2,3",Private room,65,3,1,0
5947,Private Room for Rent,Private room,66,4,1,0
5948,Brooklyn Brownstone Clinton hill,Private room,77,14,9,0
5949,Rooftop Apt in Prospect Heights,Entire home/apt,110,3,8,0
5952,Williamsburg Apt Flexible for December,Private room,50,5,0,0
5953,Cozy Studio in a great neighborhood (Upper East),Entire home/apt,146,5,21,0
5954,Beautiful NY Gem,Entire home/apt,200,1,0,0
5957,Eagle-eye view of New York,Entire home/apt,285,2,37,0
5961,Adorable East Village 1 Bedroom,Entire home/apt,199,2,10,0
5964,"Sunny Williamsburg, Brooklyn Studio",Entire home/apt,88,14,5,0
5965,Pre-War Gem in the heart of the UWS,Entire home/apt,350,4,0,0
5967,"Clean, cozy bedroom in sunny East Village/LES apt",Private room,120,14,14,0
5968,Cozy room in East Village,Private room,105,2,9,0
5971,"Lux Baby Friendly Apt, Williamsburg, Brooklyn",Entire home/apt,150,5,7,0
5973,Bright duplex apartment,Entire home/apt,110,2,4,0
5974,"Bright 1 Bedroom, Perfect Location!",Entire home/apt,160,3,5,0
5975,,Entire home/apt,215,7,5,0
5976,Beautiful & spacious apartment,Private room,75,5,1,0
5977,"Artsy 2 Bedroom Apt. in Harlem, NY",Entire home/apt,200,5,0,0
5982,specious 1bd apt on Saint Marks Pl,Entire home/apt,248,6,1,0
5983,Spacious Bklyn Apt Near Manhattan,Private room,100,8,1,0
5984,"West Village Apt with patio, Steps from subway!",Entire home/apt,180,2,1,0
5985,Sunny room with private entrance,Private room,60,2,12,0
5987,Bedroom in Crown Heights,Private room,45,2,1,0
5988,N 6th & Bedford PRIME Williamsburg ,Private room,135,1,1,0
5989,Massive 1BR in the Lower East Side,Entire home/apt,275,3,0,0
5992,One bedroom near Central Park West,Entire home/apt,175,21,1,0
5995,"Light Filled Spacious 1BR, with Cat",Entire home/apt,115,2,9,0
5996,Upper East Side 1 Bedroom Gem,Shared room,169,2,3,0
5997,one room bushwick,Private room,100,1,0,0
5999,Great room in a 2 BD apartment,Private room,75,1,4,0
6000,Heart of Upper West Side 1BR,Entire home/apt,130,1,10,0
6003,Penthouse for 4th of July Weekend,Entire home/apt,200,2,2,0
6005,Upper East Side Studio,Entire home/apt,125,1,7,0
6010,Bedroom in Beautiful Brooklyn Loft,Private room,50,1,4,0
6012,"Private Studio, Columbia University",Entire home/apt,130,4,4,0
6015,Cute bedroom in Williamsburg,Private room,45,1,1,0
6017,Upper east doorman,Entire home/apt,295,6,0,0
6019,Bountiful Space and Cozy Home,Entire home/apt,110,7,0,0
6025,Spacious 3BDR Prime Location!,Entire home/apt,295,2,4,0
6028,Cozy Room in Classic NY Apt//Lively Midtown Area,Private room,60,1,22,0
6029,"Quiet Brooklyn Hideaway, At the Subway",Entire home/apt,125,3,7,0
6030,Soaring Space in Laid-back Brooklyn,Private room,55,1,8,0
6031,New year in New York City,Private room,425,7,1,0
6032,Huge Apartment on Prospect Park,Entire home/apt,150,14,1,0
6033,Your own apartment in Brooklyn!,Entire home/apt,130,5,0,0
6034,Manhattan Studio,Entire home/apt,250,1,0,0
6035,"Private Spacious Rm, Prospect Park",Private room,49,3,7,0
6036,East Village Walkup Jam,Entire home/apt,250,3,0,0
6038,Large studio in trendy Harlem,Entire home/apt,115,1,8,0
6039,Large 1 BR with backyard on UWS,Entire home/apt,200,2,22,0
6046,True Brooklyn Loft Experience ,Entire home/apt,150,6,5,0
6050,Brooklyn Townhouse Duplex,Entire home/apt,200,7,0,0
6051,Coming soon,Private room,188,2,0,0
6054,Prime East Village One Bedroom Apt!,Entire home/apt,195,5,3,0
6056,HOME AWAY FROM HOME,Entire home/apt,150,2,36,0
6057,West Village - Celebrities + LIGHT,Entire home/apt,300,3,0,0
6058,Charming Park Slope Studio Sublet,Entire home/apt,60,1,0,0
6063,Gorgeous 1 Bedroom in the heart of NYC: Chelsea,Entire home/apt,325,2,19,0
6069,One bedroom in 2 bedroom apartment,Private room,64,1,14,0
6070,Bright Spacious Bushwick Home,Entire home/apt,100,3,4,0
6074,Bright & big apt 3 blks from subway,Entire home/apt,125,3,6,0
6075,Charming Room in Prospect Heights!,Private room,50,1,0,0
6076,Charming West Village Studio,Entire home/apt,200,2,9,0
6077,1 BR in Gramercy Park,Entire home/apt,350,1,0,0
6079,Cozy Private Room in Upper WestSide,Private room,180,1,26,0
6081,Big Duplex 1 BR/Loft w/ outdoors,Entire home/apt,200,7,0,0
6084,Cozy Hells Kitchen/Times Sq 2BR,Entire home/apt,160,1,8,0
6087,NYC UES charming 1 bedroom,Entire home/apt,250,2,0,0
6088,"Bright, Spacious Entire Studio",Entire home/apt,130,5,9,0
6091,Spacious Bedroom in Bushwick w/AC,Private room,60,3,4,0
6093,Entire flr-thru 2bdrm apartment near ProspectPark!,Entire home/apt,180,1,7,0
6096,The Elizabeth,Entire home/apt,195,3,66,0
6098,Beautiful Loft in LES Manhattan!,Entire home/apt,175,3,2,0
6099,Greenwich / West Village 2 Bedroom,Entire home/apt,175,1,0,0
6100,Charming 1BD Pre-War Apartment ,Entire home/apt,165,2,9,0
6105,Sunny Lower East Side Penthouse,Entire home/apt,325,4,0,0
6106,Large One Bedroom near Union square,Entire home/apt,249,1,0,0
6112,Great 4 Families Near Parade + Park,Entire home/apt,550,4,0,0
6114,Amazing convenient 5 min  to city,Entire home/apt,225,1,1,0
6115,"Charming 1 bedroom, great location!",Entire home/apt,135,2,0,0
6117,"Charming, Sunny Downtown Studio",Entire home/apt,200,2,23,0
6123,Private & clean 1 bd/1br Willamsburg w/ roofdeck.,Entire home/apt,225,2,0,0
6129,Large Sunny Private Room in 2BR steps from subway,Private room,70,2,15,0
6130,Classic East Village Studio,Entire home/apt,225,1,0,0
6131,Luxury Apartment on Wall Street,Entire home/apt,170,1,2,0
6134,Tranquility in The Heart of Astoria,Private room,69,1,0,0
6135,"Bright 1 bdrm apt near Central Park, shops & metro",Entire home/apt,199,2,19,0
6136,Heart of the East Village- Best Loc,Entire home/apt,175,1,2,0
6137,"Great location, spacious apt.",Entire home/apt,120,3,3,0
6138,Cozy Bedroom in best area of FiDi,Private room,100,5,2,0
6139,"Amazing Location, Incredible Space",Private room,150,1,0,0
6140,Cute & Modern 1 Bedroom Apt,Entire home/apt,100,8,14,0
6141,Stylish West Village Artists Penthouse Loft,Entire home/apt,130,30,1,0
6142,Cosy apartment in the East Village,Entire home/apt,150,5,0,0
6143,1 bedroom in Brooklyn,Private room,50,30,2,0
6144,"Clean, quiet, safe 25Min Dwntn NYC",Private room,80,2,11,0
6145,Iconic West Village Apartment,Entire home/apt,250,2,0,0
6150,"HUGE STUDIO-Cozy,Centrally Located!",Entire home/apt,149,2,1,0
6151,"Chelsea, balcony and 2 bedrooms!",Entire home/apt,320,3,0,0
6152,"Sunny/artistic, Manhattan 2 bedroom",Private room,75,1,9,0
6154,Union Square Apartment + Private Backyard,Private room,97,3,64,0
6156,XL off Fifth Avenue & Central Park,Entire home/apt,275,2,20,0
6159,"Sunny, Artsy Brooklyn Room",Private room,75,2,2,0
6160,Studio Apartment- Furnished,Entire home/apt,110,5,0,0
6162,Upper West Apartment Block Away from Central Park!,Entire home/apt,180,14,0,0
6166,2BR - Great West Village Location,Entire home/apt,205,2,6,0
6169,Spacious Room in Sugar Hill,Private room,49,3,3,0
6171,Beautiful 1 Bedroom Apt,Entire home/apt,195,2,0,0
6178,Zen MiniPalace Astoria,Entire home/apt,80,1,3,0
6179,Private Space in Manhattan 8/25-9/9,Private room,29,7,0,0
6181,"Spacious 1 Bedroom in Midwood, BK!",Private room,100,1,0,0
6184,Private room in South Slope,Private room,90,1,0,0
6185,"Manhattan, UWS, Bright, 1BR, & Loft",Entire home/apt,125,1,0,0
6186,Spacious studio apt in Jackson Hts,Entire home/apt,90,3,0,0
6187,Cosy East Village apartment!,Entire home/apt,180,1,2,0
6189,Large apt in heart of Williamsburg,Entire home/apt,200,3,7,0
6191,Sunny East Village 1 Bedroom,Entire home/apt,200,2,0,0
6192,Charming and Clean Brooklyn Apt.,Private room,75,1,0,0
6196,Kosher new studio close to subway,Private room,125,2,4,0
6197,Huge room wt bathroom + entrance,Private room,90,3,4,0
6199,New Years In New York City,Private room,400,3,0,0
6201,1 bdrm apartment in boerum hill!,Entire home/apt,125,1,2,0
6206,Entire Apt. in E. Williamsburg,Entire home/apt,189,1,0,0
6207,Colorful Studio Near Columbia Univ.,Entire home/apt,99,3,18,0
6208,Spacious 1 Bedroom in Bohemian Comfort,Entire home/apt,167,4,6,0
6209,"Bright 1BR, central location",Entire home/apt,205,2,0,0
6210,Williamsburg Apartment,Private room,50,1,0,0
6212,Cozy 1BR Apartment in Astoria,Entire home/apt,127,2,12,0
6216,Large 1 bdrm near L in Williamsburg,Entire home/apt,120,5,1,0
6217,CHARMING bedroom in BedStuy,Private room,55,1,0,0
6218,Beautiful Spacious Studio By Park,Entire home/apt,120,3,33,0
6219,Quaint Brownstone with Garden,Entire home/apt,108,4,3,0
6220,Cozy One Bedroom in Williamsburg!,Entire home/apt,200,3,3,0
6223,Large Room with Private Bathroom,Private room,129,4,0,0
6225,Greenwich/West Village Private Room,Private room,110,1,0,0
6233,"Bright and Spacious, near the Park",Entire home/apt,120,5,1,0
6234,Bright and Cheerful Prospect Heights 1-bedroom,Entire home/apt,115,6,3,0
6235,"Clean, Cozy, Close to City (15min)",Entire home/apt,99,2,0,0
6238,"Beautiful, Spacious Room in Loft",Private room,80,1,0,0
6241,Spacious Studio in Brooklyn,Entire home/apt,80,7,0,0
6246,"Woodsy-chic Lofted 1BR, Office, AC",Entire home/apt,175,2,81,0
6248,Spacious 2BR Greenpoint Getaway,Entire home/apt,245,3,0,0
6249,Penthouse loft with private patio,Entire home/apt,450,3,12,0
6250,1 bedroom in Cozy 2 bedroom upper west side,Private room,100,3,0,0
6252,Room #2 Near Manhattan NYC.,Private room,39,1,89,0
6253,Cozy 2BD Near Columbia Univ,Entire home/apt,160,4,10,0
6254,2 Bdr Cozy Apartment in Park Slope,Entire home/apt,150,2,0,0
6256,Lovely Studio on the edge of the McGolrick Park,Private room,75,8,6,0
6257,Park Slope - Furnished  room in 2BR,Private room,99,5,1,0
6258,Funky East Village Garden Apt.,Entire home/apt,165,2,40,0
6259,Columbia UWS 1BD Apt-Quiet & Comfy,Entire home/apt,145,1,12,0
6262,GREAT SPACIOUS PRIVATE ROOM,Private room,65,1,0,0
6266,"Charming apt. in Brooklyn, New York",Entire home/apt,140,3,11,0
6267,CHARMING 1-BD w CITY VIEWS,Entire home/apt,125,5,5,0
6268,曼哈顿上西区林肯中心附近优质公寓短租!,Shared room,80,1,0,0
6269,,Private room,150,1,0,0
6270,"Clean, Cozy - South ParkSlope - NYC",Private room,75,1,0,0
6271,Thanksgiving Vacation ,Private room,200,4,0,0
6274,Between Central Park and the Subway,Entire home/apt,180,2,18,0
6276,Artist Loft in Greenpoint/Williamsb,Private room,80,1,0,0
6279,Bright 3 bdrm in East Village,Entire home/apt,400,3,1,0
6280,New 2 br Apt Williamsburg,Entire home/apt,450,1,0,0
6282,Gorgeous bohemian  Apt. in a Brownstone,Entire home/apt,100,2,2,0
6283,One Bedroom East Village New York,Entire home/apt,205,1,0,0
6285,Private Terrace in Brooklyn!,Private room,95,1,7,0
6290,Spacious Full 2br Holiday Home ,Entire home/apt,250,3,0,0
6294,Cozy private bedroom in Manhattan,Private room,67,1,2,0
6295,Great 2 bedroom Greenpoint BK,Entire home/apt,175,4,2,0
6296,Spacious 1BR Apt in Greenpoint,Entire home/apt,149,15,22,0
6299,Private Room & Bathroom in LES,Private room,120,5,0,0
6302,Coziest 2BD Brownstone in Jefftown,Entire home/apt,150,1,1,0
6303,Radiant 2bed E Village Apartment,Entire home/apt,219,5,1,0
6304,Uptown Convenience & Comfort,Entire home/apt,185,3,10,0
6305,Private Room 2 Beds New York City!,Private room,65,1,21,0
6307,Christmas Harlem! Duplex,Entire home/apt,350,3,0,0
6308,Large 1 bedroom apt - can sleep 4,Entire home/apt,170,3,6,0
6309,Upper East Side Manhattan,Private room,250,1,0,0
6310,Upper East Side Manhattan #2,Private room,250,1,0,0
6311,Bushwick Pad,Private room,70,1,0,0
6312,New York City Studio,Entire home/apt,150,7,23,0
6314,Stay on St. Marks Place for your NYC Vacation!,Private room,79,2,2,0
6318,Lofted duplex in Kips Bay,Entire home/apt,350,2,0,0
6319,Upper East Side Spacious 2 Bedrooms,Entire home/apt,249,3,1,0
6321,Colorful Room in Crown Heights,Private room,38,10,0,0
6322,One bedroom loft in West Village ,Entire home/apt,450,3,0,0
6323,Cozy bedroom in heart of Manhattan,Private room,60,7,5,0
6324,1br - Williamsburg Luxury Sublet ,Entire home/apt,95,1,0,0
6325,"Tranquil, clean bedroom,",Private room,85,3,1,0
6326,Beautiful one bedroom apt 850 sqf!!,Entire home/apt,199,1,0,0
6332,Bright and Charming Studio East V.,Entire home/apt,100,7,6,0
6335,Great deal in Heart of Greenpoint,Entire home/apt,85,4,4,0
6340,Bedroom and art studio/office space,Private room,41,4,14,0
6341,Bright and Sunny Williamsburg Oasis,Entire home/apt,180,3,103,0
6342,Cozy Room in NYC!  =),Private room,67,5,4,0
6344,"ENTIRE home - Modern, huge, sunny 2BD",Entire home/apt,105,3,29,0
6346,Sunny Studio,Entire home/apt,100,2,1,0
6351,Room 15 min from Manhttn.,Private room,30,5,2,0
6352,Modern Studio with Loft in the LES.,Entire home/apt,175,4,57,0
6353,1x furnished Bdr in 2Bdr Apt-Wburg,Private room,95,1,0,0
6354,"Sunny, Spacious 1 Bdrm in E. Vil.",Entire home/apt,125,1,8,0
6355,Nice room 15 min from Manhattan!,Private room,35,5,9,0
6358,Cozy apartment in Williamsburg,Private room,55,1,4,0
6361,Beautiful Apartment in Greenpoint,Private room,150,1,0,0
6364,"Private room, minutes from subway!",Private room,44,5,86,0
6365,Comfortable Greenpoint Bedroom,Private room,55,6,0,0
6366,Charming Studio in Carroll Gardens,Entire home/apt,100,3,15,0
6369,Cozy Loft-Style Studio Near Subway ,Entire home/apt,100,7,2,0
6370,Spacious 2 BDRM near Times Square,Entire home/apt,225,5,13,0
6372,Quiet 1 Bedroom near Union Square,Entire home/apt,139,2,5,0
6374,Great one bedroom loft space in Manhattan,Entire home/apt,140,4,13,0
6377,2 Bedroom New York Charmer,Entire home/apt,350,2,9,0
6378,Hip&Central! Charming Williamsburg!,Entire home/apt,175,2,5,0
6381,"Room in front of Prospect Park, 1 block to subway",Private room,40,6,10,0
6382,Light filled room w/full size bed in LES,Shared room,65,10,21,0
6384,"Spacious 1 BR, En Suite in Brownstone!",Private room,135,2,88,0
6386,Lovely Room in a 2 BR in Greenpoint,Private room,85,14,3,0
6389,Classic East Village Apartment,Private room,140,1,1,0
6390,1 BR in shiny new building + bikes!,Entire home/apt,160,3,4,0
6391,"Parkslope, 1 bdrm, steps to subway",Entire home/apt,115,5,4,0
6393,Luxury 1BD apt by Prospect Park,Entire home/apt,198,2,7,0
6394,Astoria Queens great room for rent!,Private room,200,1,0,0
6398,Quiet and cozy 2BR. Great location!,Entire home/apt,170,3,6,0
6399,Large Sunny Apartment in Astoria,Private room,120,3,18,0
6400,"Cozy 1BR, 5 minutes from the train",Entire home/apt,140,2,18,0
6404,Lovely Duplex in Brooklyn,Private room,140,3,148,0
6405,Pre-War Apt on Central Park West!,Entire home/apt,600,5,6,0
6406,Beautiful 2 Bdrm Duplex w Backyard,Entire home/apt,195,4,0,0
6407,Cozy Room by CentralPark-Times Sq,Private room,79,7,1,0
6408,Entire 2 Bedroom Apartment - 20 min to Times Sqr,Entire home/apt,55,14,2,0
6410,Cozy Bedroom in Large Apartment,Private room,60,7,1,0
6414,Beautifully Furnished 1 BR w/Office,Entire home/apt,145,5,1,0
6416,Garden Level Brooklyn Brownstone,Entire home/apt,130,1,9,0
6417,Spacious luxury loft Downtown NYC,Entire home/apt,115,3,8,0
6420,"Great bright 1BR,in true BK style",Entire home/apt,170,3,22,0
6422,Cozy 1-BDR apartment on Manhattan,Entire home/apt,125,4,0,0
6424,Cozy 1BR in the heart of Harlem,Entire home/apt,80,5,5,0
6426,2 Bedroom West Village Manhattan,Entire home/apt,600,1,0,0
6427,sunny & spacious one-bedroom ,Entire home/apt,140,3,0,0
6428,Big quiet room in Harlem,Private room,56,1,7,0
6429,Sunny Lg BR in 2BR apt- sleeps 2,Private room,70,2,7,0
6432,"Cozy 2BD, 20 mins to Times SQ",Private room,60,1,0,0
6433,Living room & Bedroom_Williamsburg,Private room,120,1,0,0
6434,LARGE GREAT STUDIO HELLS KITCHEN,Entire home/apt,150,1,3,0
6436,"PRICE REDUCED! Clean, safe, & roomy",Private room,145,3,0,0
6439,Flatiron studio next to Madison Pk,Entire home/apt,110,7,11,0
6441,New Studio Loft in Williamsburg w/ Private Terrace,Entire home/apt,140,4,1,0
6442,"Brooklyn off J/Z, Newly Renovated",Private room,46,4,3,0
6443,Artsy and Cozy 1b. - Walk Everywhere!,Entire home/apt,180,1,1,0
6447,Happy Chic Convenient New Listing!,Entire home/apt,250,3,2,0
6448,Spacious bedroom for Summer Months,Private room,60,1,3,0
6450,Sunny Cozy East Village Apartment,Entire home/apt,138,11,5,0
6452,Cosy room in Brooklyn!2min to Sbwy,Private room,35,1,0,0
6453,Huge Bdr in Loft in Williamsburg,Private room,90,1,0,0
6454,Charming two bedroom in Greenpoint,Entire home/apt,180,1,0,0
6455,Light and Spacious your 1BR Fort Greene Apt Awaits,Entire home/apt,145,2,1,0
6456,"Cozy 1BD in PLG, Brooklyn!",Entire home/apt,100,3,15,0
6457,Fort Greene Brooklyn 1 bedroom apt,Entire home/apt,119,4,19,0
6458,Fantastic Room in Williamsburg,Private room,70,2,0,0
6459,Charming Bohemian Bushwick Apt,Private room,48,4,1,0
6460,Cozy Two-bedroom Apt in a Cute House in Brooklyn!,Private room,35,4,0,0
6462,Cozy bedroom in the heart of Lower East Side,Private room,64,2,58,0
6464,Brooklyn Oasis,Private room,50,2,23,0
6465,Boerum Hill Brownstone with Skylights,Entire home/apt,190,2,8,0
6466,New York Upper East Side Luxury Apt,Entire home/apt,235,7,8,0
6468,Amazing location! Cozy apartment!,Shared room,60,1,4,0
6469,"Private, sunny room!",Private room,90,3,1,0
6470,NEAR TIMES SQUARE & CENTRAL PARK!,Private room,125,1,1,0
6473,"Manhattan, modern chic - 2BR/2Bath",Entire home/apt,225,7,0,0
6474,ROOM AVAILABLE IN PERFECT FLAT,Private room,150,2,1,0
6476,GREAT ROOM IN ASTORIA QUEENS,Private room,70,5,0,0
6477,Comfy 2Bdr Railroad in Greenpoint,Entire home/apt,112,2,8,0
6478,Stunning Pre-war Penthouse Studio ,Entire home/apt,200,10,3,0
6480,Charming brownstone,Private room,70,2,3,0
6481,"Spacious bedroom,amazing location! ",Private room,115,3,1,0
6484,Fully Furnished Private Bedroom,Private room,80,1,0,0
6486,Spacious Apt in Bushwick!,Entire home/apt,70,4,8,0
6487,LARGE QUEEN ROOM FOR THE HOLIDAYS,Private room,52,6,1,0
6490,Cool artist apartment in Williamsburg/Bushwick,Entire home/apt,132,4,7,0
6491,Cozy apartment in Brooklyn,Entire home/apt,90,4,12,0
6493,Private Retreat on Central Park,Entire home/apt,249,1,67,0
6494,Ideal One Bedroom on UWS,Entire home/apt,160,2,6,0
6496,Luxurious Upper East Side Duplex,Entire home/apt,500,7,0,0
6497,"Fresh, Quite and Poppin.",Private room,65,1,0,0
6498,Gramercy/Kips Bay 1BR- the best! ,Entire home/apt,170,3,0,0
6500,Room in a 4 bedroom Apt. in Harlem,Private room,80,1,0,0
6503,Cosy bedroom in Brooklyn duplex,Private room,50,2,15,0
6504,"Spacious, sun filled village haven",Entire home/apt,250,5,1,0
6505,Cozy Bedroom in Brooklyn,Private room,40,1,1,0
6506,Bed-Stuy Brownstone,Private room,75,1,0,0
6507,Charming 1BD Across from Park,Entire home/apt,82,1,1,0
6509,Cozy home in south Williamsburg,Entire home/apt,100,7,6,0
6510,Harlem,Private room,75,1,0,0
6514,Beautiful Light Filled Apartment in New York City!,Entire home/apt,130,1,3,0
6515,"Cosy 2 bed, Gramercy, NYC Apartment",Entire home/apt,199,6,0,0
6517,Sunny Private Bedroom in Bushwick,Private room,80,2,0,0
6518,Hipster-Chic Bushwick Apartment,Private room,33,2,9,0
6519,Bedroom in Spacious East Village Apt,Private room,55,26,0,0
6520,West Village Gorgeous Chic 1BR Apt,Entire home/apt,299,5,0,0
6522,BEAUTIFUL WILLIAMSBURG BROWNSTONE,Entire home/apt,200,30,0,0
6523,Modern 1 BD near Prospect Park,Entire home/apt,109,1,18,0
6525,Greenwich Village w Private Garden,Private room,95,2,4,0
6526,Upper East Side Apatments,Entire home/apt,375,4,0,0
6527,Room in Manhattan (Upper West Side),Private room,50,14,1,0
6529,great room in the best place,Private room,44,1,3,0
6530,Spanish Harlem Apt,Entire home/apt,9999,5,1,0
6531,room in prime williamsburg,Private room,77,1,0,0
6532,Holiday Sublet! 20 min to midtown,Private room,40,6,0,0
6534,"Amazing, classy, safe & convenient!",Private room,65,1,1,0
6535,"Spacious, Cool 1-BD in Brooklyn",Entire home/apt,85,5,14,0
6541,Huge Room in First Floor Brownstone,Private room,75,2,19,0
6543,Quiet & Peaceful Upper West Escape,Entire home/apt,120,4,4,0
6544,Charming UES 1bdr near Central Park,Entire home/apt,154,4,17,0
6545,Bright & Spacious  in Williamsburg,Entire home/apt,150,3,1,0
6546,Urban sanctuary in the heart of NYC,Entire home/apt,150,2,1,0
6548,Modern 2BR Apartment in Heart of East Village,Entire home/apt,250,2,11,0
6549,Lovely Studio next to Park/Subway,Entire home/apt,100,5,24,0
6551,Capturing Meditation Style Room ,Private room,100,1,0,0
